,Weapon,count
0,Splash-o-matic,0.07662738496071829
1,Splattershot Jr.,0.07472222222222222
2,Splattershot,0.06746071829405163
3,.52 Gal,0.049468761690983916
4,E-liter 4K,0.0420314253647587
5,Sloshing Machine,0.036054059109614664
6,Bloblobber,0.03351010101010101
7,Flingza Roller,0.03324074074074074
8,Dualie Squelchers,0.03258043396932286
9,Splat Roller,0.029522072577628133
10,Hydra Splatling,0.028231387953610177
11,Hero Shot Replica,0.026512345679012346
12,N-ZAP '85,0.026396371118593342
13,Sploosh-o-matic,0.025236625514403293
14,REEF-LUX 450,0.02511223344556678
15,Inkbrush,0.023282828282828284
16,Heavy Splatling,0.02301720912832024
17,Range Blaster,0.019484661429105873
18,Dapple Dualies,0.018311821922933035
19,Aerospray MG,0.01830714552936775
20,Tri-Stringer,0.018209876543209876
21,Dark Tetra Dualies,0.0173129442573887
22,Explosher,0.015781893004115227
23,Clash Blaster,0.013332398054620278
24,Splat Dualies,0.011971567527123082
25,Splatana Stamper,0.011951926674148896
26,Octobrush,0.011735877291432847
27,Classic Squiffer,0.011601197156752712
28,Tri-Slosher,0.011255144032921811
29,Glooga Dualies,0.01098110736999626
30,Splat Charger,0.01090909090909091
31,Splattershot Pro,0.010193602693602694
32,Splatana Wiper,0.009567901234567902
33,E-liter 4K Scope,0.009147025813692481
34,Dynamo Roller,0.008194912083800973
35,Blaster,0.008149083426861204
36,Nautilus 47,0.008144407033295923
37,Squeezer,0.007311073699962589
38,.96 Gal,0.00730265619154508
39,Slosher,0.00693228582117471
40,Carbon Roller,0.006811634867190422
41,Splatterscope,0.006532921810699589
42,Ballpoint Splatling,0.006397306397306397
43,Jet Squelcher,0.006336513280957725
44,Luna Blaster,0.00609801720912832
45,Rapid Blaster,0.006042835765057987
46,Goo Tuber,0.00537317620650954
47,Mini Splatling,0.004795173961840629
48,Undercover Brella,0.004743733632622521
49,Bamboozler 14 Mk I,0.003774784885895997
50,Tenta Brella,0.0035568649457538345
51,L-3 Nozzlenose,0.0031322484100261877
52,Splat Brella,0.002744107744107744
53,Rapid Blaster Pro,0.002288627010849233
54,H-3 Nozzlenose,0.002275533108866442
