,Weapon,count
0,Tentatek Splattershot,0.05768716207488328
1,Neo Splash-o-matic,0.043751499326456424
2,Splash-o-matic,0.041361803620527396
3,E-liter 4K,0.03711409643667768
4,Custom Splattershot Jr.,0.033444206602572385
5,Splattershot Jr.,0.032960962152386926
6,.96 Gal Deco,0.028902400767655146
7,Sloshing Machine,0.027700632946430218
8,.52 Gal,0.026534618294550755
9,Splattershot,0.02504105847834511
10,Splatana Stamper,0.024188749054271003
11,Custom Jet Squelcher,0.023425245889538853
12,N-ZAP '89,0.022845121883707627
13,Heavy Splatling,0.022484130206122787
14,Aerospray RG,0.022115065232234134
15,Bloblobber,0.021820966581166615
16,Hydra Splatling,0.021075916665128896
17,Dualie Squelchers,0.019244431732206455
18,Krak-On Splat Roller,0.018584728091380488
19,Tri-Slosher Nouveau,0.018322922625528225
20,Tri-Stringer,0.01822604306988245
21,Range Blaster,0.01652949751803805
22,Flingza Roller,0.016334585078703105
23,Forge Splattershot Pro,0.016272305364359394
24,Splat Roller,0.01620195235371187
25,Inkbrush,0.01615120591980218
26,Dark Tetra Dualies,0.015447675813326936
27,Dapple Dualies Nouveau,0.014032542304072632
28,Nautilus 47,0.013751130261482534
29,Splatana Wiper,0.012452482884611836
30,Explosher,0.012330230112011219
31,Rapid Blaster Deco,0.01205919802181174
32,Sploosh-o-matic,0.011992304995294422
33,Classic Squiffer,0.011257635031647322
34,Carbon Roller Deco,0.011225341846432065
35,N-ZAP '85,0.010209259840194867
36,Z+F Splat Charger,0.009922081157387758
37,Hero Shot Replica,0.009571469432193537
38,Dynamo Roller,0.009407696850030447
39,Octobrush,0.009322350574818696
40,Neo Sploosh-o-matic,0.009022485283534167
41,Glooga Dualies,0.008546160801609123
42,E-liter 4K Scope,0.008294735288147479
43,Clash Blaster,0.008139036002288203
44,Z+F Splatterscope,0.007895683785130373
45,Dapple Dualies,0.007819564134265837
46,Splat Dualies,0.006958028085844513
47,REEF-LUX 450,0.006439030466313595
48,Ballpoint Splatling,0.006257957963499474
49,Squeezer,0.005892352973741027
50,Clash Blaster Neo,0.00580931335461608
51,Slosher,0.005342215497038253
52,Blaster,0.005273015814434131
53,Tri-Slosher,0.00500659703640826
54,Splat Charger,0.004984683803583621
55,Aerospray MG,0.004743638242512595
56,L-3 Nozzlenose D,0.004727491649904966
57,Splattershot Nova,0.0040124282629957
58,Inkbrush Nouveau,0.003931695299957558
59,Tenta Brella,0.0039051687549593104
60,Luna Blaster,0.003860188961266631
61,Luna Blaster Neo,0.003664123193888284
62,Undercover Brella,0.003381557823254784
63,Rapid Blaster,0.0031105257330553042
64,Splatterscope,0.002960593087413039
65,Bamboozler 14 Mk I,0.002908693325459947
66,Big Swig Roller,0.0028913934048089168
67,Goo Tuber,0.0026653411083021167
68,Splattershot Pro,0.0026307412670000556
69,Zink Mini Splatling,0.0021890166263770737
70,Jet Squelcher,0.0020033308113893452
71,Splat Brella,0.0019341311287852227
72,H-3 Nozzlenose,0.0017380653614068756
73,Carbon Roller,0.0016423391338045064
74,Mini Splatling,0.0015639128268531675
75,Snipewriter 5H,0.0015281596575077042
76,Slosher Deco,0.0013632337473012124
77,Rapid Blaster Pro,0.0013493938107803879
78,.96 Gal,0.0011983078370947206
79,L-3 Nozzlenose,0.0011129615618829694
