,Weapon,count
0,Splattershot,0.07027220630372492
1,Splattershot Jr.,0.06925143266475645
2,Splash-o-matic,0.052704154727793696
3,E-liter 4K,0.04924785100286533
4,.52 Gal,0.04663323782234957
5,Sloshing Machine,0.039452005730659025
6,Dualie Squelchers,0.03148280802292264
7,Flingza Roller,0.031017191977077363
8,Splat Roller,0.03030085959885387
9,Bloblobber,0.02732808022922636
10,Range Blaster,0.026969914040114614
11,Hydra Splatling,0.026271489971346706
12,Hero Shot Replica,0.025376074498567335
13,Heavy Splatling,0.024122492836676217
14,N-ZAP '85,0.023047994269340975
15,Sploosh-o-matic,0.022331661891117478
16,Tri-Stringer,0.02080945558739255
17,Inkbrush,0.020719914040114612
18,Dapple Dualies,0.01984240687679083
19,Splatana Wiper,0.01909025787965616
20,Dark Tetra Dualies,0.018732091690544413
21,Explosher,0.018714183381088826
22,REEF-LUX 450,0.018499283667621776
23,Clash Blaster,0.01545487106017192
24,Aerospray MG,0.013628223495702006
25,Octobrush,0.01201647564469914
26,Splat Dualies,0.011962750716332378
27,Classic Squiffer,0.011873209169054441
28,E-liter 4K Scope,0.011443409742120344
29,Splatana Stamper,0.011282234957020057
30,Tri-Slosher,0.011210601719197707
31,Blaster,0.011156876790830945
32,Glooga Dualies,0.010959885386819484
33,Splat Charger,0.010297277936962751
34,Mini Splatling,0.009795845272206304
35,.96 Gal,0.009079512893982808
36,Splattershot Pro,0.009043696275071633
37,Luna Blaster,0.008954154727793696
38,Slosher,0.008775071633237822
39,Nautilus 47,0.008255730659025788
40,Ballpoint Splatling,0.007736389684813753
41,Rapid Blaster,0.007575214899713467
42,Squeezer,0.007342406876790831
43,Dynamo Roller,0.0071633237822349575
44,Splatterscope,0.007091690544412607
45,Carbon Roller,0.006464899713467049
46,Tenta Brella,0.00617836676217765
47,Jet Squelcher,0.0060888252148997134
48,Goo Tuber,0.005497851002865329
49,Undercover Brella,0.005068051575931232
50,Splat Brella,0.004512893982808023
51,Bamboozler 14 Mk I,0.003993553008595989
52,Rapid Blaster Pro,0.0030444126074498567
53,L-3 Nozzlenose,0.0025608882521489973
54,H-3 Nozzlenose,0.002274355300859599
