,Weapon,count
0,Painbrush,0.06918672078863439
1,S-BLAST '92,0.05192084662220934
2,Tentatek Splattershot,0.04278051609162076
3,Splatana Wiper Deco,0.03735865468251667
4,Annaki Splattershot Nova,0.03358219773847492
5,Neo Splash-o-matic,0.028414033053058858
6,Splattershot Jr.,0.028116845462452886
7,Heavy Splatling Deco,0.026971585966946942
8,E-liter 4K,0.024333140040591474
9,Light Tetra Dualies,0.02033198028414033
10,Tenta Sorella Brella,0.019781095969846334
11,Splattershot,0.01913598144389678
12,Custom Splattershot Jr.,0.018614091040881416
13,Custom Dualie Squelchers,0.018179182371701942
14,Splash-o-matic,0.01750507393447376
15,.52 Gal,0.01693244418672079
16,Big Swig Roller Express,0.01685995940852421
17,Bloblobber,0.01563496665700203
18,Aerospray RG,0.015040591475790083
19,Hydra Splatling,0.014453464772397796
20,Splat Roller,0.014207016526529429
21,Dapple Dualies Nouveau,0.013866338069005509
22,N-ZAP '89,0.013424180922006378
23,Ballpoint Splatling,0.013395187010727748
24,Sploosh-o-matic,0.013228472020875615
25,Splatana Wiper,0.013170484198318353
26,Dualie Squelchers,0.012365903160336329
27,Heavy Splatling,0.012365903160336329
28,Flingza Roller,0.012170194259205567
29,Sloshing Machine,0.012068715569730357
30,Inkbrush,0.011735285590026094
31,Tri-Slosher Nouveau,0.0116483038561902
32,Dark Tetra Dualies,0.011532328211075674
33,Tri-Stringer,0.011090171064076544
34,N-ZAP '85,0.010742244128732967
35,Range Blaster,0.010691504783995361
36,Nautilus 47,0.010582777616700493
37,Rapid Blaster Pro Deco,0.01035082632647144
38,Splatana Stamper,0.010176862858799651
39,Forge Splattershot Pro,0.010140620469701362
40,Octobrush,0.010039141780226152
41,Dynamo Roller,0.009923166135111627
42,Custom Jet Squelcher,0.009517251377210786
43,H-3 Nozzlenose D,0.00946651203247318
44,Tri-Slosher,0.009133082052768918
45,Explosher,0.008944621629457814
46,Classic Squiffer,0.008248767758770658
47,Carbon Roller Deco,0.007639895621919397
48,.96 Gal Deco,0.007031023485068136
49,Hero Shot Replica,0.007023775007248478
50,Slosher,0.00647289069295448
51,REEF-LUX 450,0.006422151348216875
52,Splat Dualies,0.006175703102348507
53,Rapid Blaster Deco,0.006175703102348507
54,Squeezer,0.005516091620759641
55,Aerospray MG,0.00541461293128443
56,E-liter 4K Scope,0.0053203827196288776
57,Tenta Brella,0.005298637286169905
58,Dapple Dualies,0.005269643374891273
59,Inkbrush Nouveau,0.005168164685416063
60,Krak-On Splat Roller,0.005160916207596405
61,Glooga Dualies,0.004878225572629747
62,Blaster,0.004783995360974195
63,Clash Blaster,0.004718759060597275
64,Z+F Splat Charger,0.004617280371122064
65,Luna Blaster Neo,0.004421571469991302
66,Splattershot Nova,0.0040011597564511454
67,Undercover Brella,0.0035300086981733835
68,Clash Blaster Neo,0.0033632937083212526
69,Z+F Splatterscope,0.0032400695853870686
70,Splat Charger,0.0031820817628298056
71,Splat Brella,0.0031458393737315163
72,Neo Sploosh-o-matic,0.0029573789504204117
73,Snipewriter 5H,0.0027979124383879384
74,Luna Blaster,0.002645694404175123
75,Zink Mini Splatling,0.0024499855030443605
76,Splatterscope,0.0023485068135691506
77,Big Swig Roller,0.0020078283560452303
78,Mini Splatling,0.0018918527109307046
79,L-3 Nozzlenose D,0.001754131632357205
80,Bamboozler 14 Mk I,0.0017323861988982315
81,Jet Squelcher,0.0016888953319802841
82,Goo Tuber,0.0016671498985213105
83,Splattershot Pro,0.0016599014207016526
84,.96 Gal,0.001471440997390548
85,H-3 Nozzlenose,0.0012394897071614961
86,Rapid Blaster,0.0010945201507683387
87,Carbon Roller,0.0010365323282110757
88,Slosher Deco,0.0009133082052768919
89,Rapid Blaster Pro,0.000848071904899971
90,L-3 Nozzlenose,0.0004639025804581038
