,Weapon,count,countp
0,Splattershot,2886,0.06413333333333333
1,.52 Gal,2664,0.0592
2,Splash-o-matic,2605,0.057888888888888886
3,Splattershot Jr.,2576,0.057244444444444445
4,Sloshing Machine,2563,0.05695555555555556
5,N-ZAP '85,1870,0.041555555555555554
6,Dualie Squelchers,1638,0.0364
7,E-liter 4K,1631,0.03624444444444445
8,Splat Roller,1494,0.0332
9,Bloblobber,1393,0.030955555555555556
10,Flingza Roller,1365,0.030333333333333334
11,Hero Shot Replica,1224,0.0272
12,Hydra Splatling,1179,0.0262
13,Range Blaster,1141,0.025355555555555555
14,REEF-LUX 450,1115,0.024777777777777777
15,Tri-Stringer,1055,0.023444444444444445
16,Aerospray MG,930,0.020666666666666667
17,Heavy Splatling,863,0.019177777777777776
18,Sploosh-o-matic,758,0.016844444444444443
19,Dapple Dualies,739,0.016422222222222223
20,Inkbrush,719,0.015977777777777778
21,Dark Tetra Dualies,695,0.015444444444444445
22,Splattershot Pro,658,0.014622222222222222
23,Octobrush,654,0.014533333333333334
24,Clash Blaster,640,0.014222222222222223
25,Splat Dualies,602,0.013377777777777778
26,Splat Charger,601,0.013355555555555556
27,Explosher,540,0.012
28,E-liter 4K Scope,494,0.010977777777777777
29,Splatana Stamper,494,0.010977777777777777
30,Dynamo Roller,468,0.0104
31,Classic Squiffer,464,0.010311111111111111
32,Tri-Slosher,452,0.010044444444444444
33,Glooga Dualies,424,0.009422222222222222
34,Blaster,421,0.009355555555555556
35,Nautilus 47,406,0.009022222222222221
36,Splatterscope,387,0.0086
37,Squeezer,379,0.008422222222222222
38,.96 Gal,377,0.008377777777777777
39,Rapid Blaster,339,0.007533333333333334
40,Carbon Roller,334,0.007422222222222222
41,Jet Squelcher,317,0.007044444444444444
42,Luna Blaster,312,0.006933333333333333
43,Splatana Wiper,309,0.006866666666666667
44,Slosher,307,0.006822222222222223
45,Undercover Brella,263,0.005844444444444445
46,Ballpoint Splatling,218,0.004844444444444445
47,Rapid Blaster Pro,172,0.003822222222222222
48,Bamboozler 14 Mk I,157,0.003488888888888889
49,Tenta Brella,139,0.003088888888888889
50,L-3 Nozzlenose,135,0.003
51,Goo Tuber,132,0.0029333333333333334
52,H-3 Nozzlenose,112,0.002488888888888889
53,Mini Splatling,100,0.0022222222222222222
54,Splat Brella,90,0.002
