,Weapon,count
0,Custom Splattershot Jr.,0.06502345508283847
1,Tentatek Splattershot,0.05951896743404105
2,Splash-o-matic,0.056343040754901166
3,Forge Splattershot Pro,0.046808481791805634
4,Splattershot Jr.,0.0447442989235066
5,Splattershot,0.03602321104151414
6,E-liter 4K,0.03328113560562922
7,Aerospray RG,0.03308115729819138
8,Carbon Roller Deco,0.033077767835353454
9,.52 Gal,0.030918680007592396
10,Sloshing Machine,0.029084980612272566
11,Bloblobber,0.026539494020987552
12,Dualie Squelchers,0.023522872095230348
13,Dapple Dualies Nouveau,0.021817972287751838
14,Hydra Splatling,0.021279047696521055
15,Splattershot Nova,0.0204554082269042
16,Splat Roller,0.020363892730280105
17,Tri-Stringer,0.018750508419425688
18,Heavy Splatling,0.016906640635592073
19,Flingza Roller,0.0168524092301852
20,Inkbrush,0.016537189186257763
21,Snipewriter 5H,0.01575761273353399
22,Range Blaster,0.015622034220016812
23,Zink Mini Splatling,0.015110225331489466
24,N-ZAP '85,0.014147617885517503
25,Sploosh-o-matic,0.01374088234496597
26,Splatana Wiper,0.013635808996990156
27,Big Swig Roller,0.012415602375335557
28,Hero Shot Replica,0.012408823449659698
29,Explosher,0.011514005260446325
30,Dark Tetra Dualies,0.011503836871932537
31,Splatana Stamper,0.010470050706364056
32,Clash Blaster,0.009795547601616095
33,Luna Blaster Neo,0.009232896770519809
34,Octobrush,0.008331299655630576
35,E-liter 4K Scope,0.008039805851568643
36,Tri-Slosher,0.007944900892106619
37,Classic Squiffer,0.007856774858320453
38,Squeezer,0.007517828574527509
39,Splat Dualies,0.007466986631958567
40,Glooga Dualies,0.007426313077903414
41,Dapple Dualies,0.0074195341522275545
42,Splat Charger,0.006904335800862279
43,Aerospray MG,0.006870441172482985
44,Inkbrush Nouveau,0.0067585888988313135
45,Nautilus 47,0.006267116787331543
46,REEF-LUX 450,0.006050191165704059
47,Dynamo Roller,0.00586038124678001
48,Blaster,0.005734971121776621
49,Slosher,0.004931668429187342
50,Slosher Deco,0.004660511402152987
51,Splatterscope,0.004511375037284091
52,Rapid Blaster,0.004257165324439383
53,Ballpoint Splatling,0.004108028959570487
54,Splattershot Pro,0.0036911250305051656
55,Jet Squelcher,0.0035826622196914234
56,.96 Gal,0.0035521570541500584
57,Luna Blaster,0.003514872962932834
58,Carbon Roller,0.002955611594674476
59,Undercover Brella,0.0024200764662816237
60,Bamboozler 14 Mk I,0.002345508283847176
61,Tenta Brella,0.0022031508446541392
62,Goo Tuber,0.002047235554109385
63,Mini Splatling,0.0019997830743783726
64,L-3 Nozzlenose,0.0019150465034301364
65,Rapid Blaster Pro,0.0018031942297784646
66,Splat Brella,0.0016133843108544158
67,H-3 Nozzlenose,0.0011524173648960112
