,Weapon,count
0,Tentatek Splattershot,0.05054643547982222
1,E-liter 4K,0.03374638232210623
2,Neo Splash-o-matic,0.03368685675472144
3,Splattershot Jr.,0.03275059802430489
4,Splash-o-matic,0.028502133691655714
5,Custom Splattershot Jr.,0.027953483307000575
6,N-ZAP '85,0.02617463786305982
7,Splattershot,0.023742395493406968
8,.52 Gal,0.022570341685985557
9,Aerospray RG,0.02244852192017483
10,Bloblobber,0.020181013097470578
11,Splat Roller,0.0192955126028085
12,Sploosh-o-matic,0.019274747869999852
13,Ballpoint Splatling,0.018855761705772044
14,Inkbrush,0.018739479202043618
15,Tri-Slosher Nouveau,0.018219899443320586
16,Hydra Splatling,0.018125765987921386
17,Flingza Roller,0.017843365621723787
18,Dapple Dualies Nouveau,0.017456218714469236
19,Dynamo Roller,0.01512364706229789
20,Nautilus 47,0.015019823398254655
21,Annaki Splattershot Nova,0.014587455517327938
22,Range Blaster,0.014521008372340268
23,Dark Tetra Dualies,0.014321666937377258
24,Splatana Stamper,0.014032344993576777
25,Explosher,0.013672884396733753
26,Tri-Stringer,0.013504920780237142
27,Dualie Squelchers,0.013382639575919555
28,Splatana Wiper Deco,0.012967806358253474
29,REEF-LUX 450,0.012859368309141651
30,Forge Splattershot Pro,0.012430691936269805
31,Heavy Splatling,0.012406235695406288
32,Splatana Wiper,0.012257652496197747
33,Tri-Slosher,0.011834513385408207
34,N-ZAP '89,0.011808672829024112
35,Custom Jet Squelcher,0.011714077935118054
36,Carbon Roller Deco,0.011188499475805856
37,Octobrush,0.01068137855676801
38,Splat Dualies,0.010620468673862647
39,Classic Squiffer,0.01032145652141813
40,Painbrush,0.009782034906900166
41,Sloshing Machine,0.009663906649144308
42,Aerospray MG,0.008958828610664028
43,Heavy Splatling Deco,0.00889561153522437
44,Tenta Sorella Brella,0.00871103613248084
45,Hero Shot Replica,0.008694885784740782
46,Rapid Blaster Pro Deco,0.008582756227574088
47,Rapid Blaster Deco,0.008567528756847747
48,Slosher,0.0085624529332723
49,E-liter 4K Scope,0.008395412193789406
50,S-BLAST '92,0.00821406686059389
51,Light Tetra Dualies,0.007815383990667868
52,.96 Gal Deco,0.007799233642927809
53,Custom Dualie Squelchers,0.0074443874311533745
54,Clash Blaster,0.0071541426103391755
55,Glooga Dualies,0.007122303353365917
56,Inkbrush Nouveau,0.007024939828418706
57,Squeezer,0.006807602291688201
58,Big Swig Roller Express,0.006782223173810965
59,Dapple Dualies,0.006569500022149048
60,Krak-On Splat Roller,0.006498899930599648
61,Blaster,0.006084989589947285
62,Z+F Splat Charger,0.005774441474831298
63,Luna Blaster Neo,0.005767981335735275
64,Undercover Brella,0.004945697916512854
65,Z+F Splatterscope,0.0049203187986356185
66,Neo Sploosh-o-matic,0.004569164094916055
67,Splat Charger,0.00449302674128435
68,Splattershot Nova,0.0042327754234159735
69,Bamboozler 14 Mk I,0.0038742377035866694
70,Mini Splatling,0.0032771362757113534
71,Luna Blaster,0.0032499114038066833
72,Clash Blaster Neo,0.0030934837499815423
73,Splatterscope,0.003081486348803213
74,Snipewriter 5H,0.0029222900639369197
75,H-3 Nozzlenose D,0.0028037003676742024
76,Goo Tuber,0.0027303316450836496
77,Splattershot Pro,0.002666653131137132
78,L-3 Nozzlenose D,0.002575749745285944
79,Splat Brella,0.0025097640388051326
80,Rapid Blaster,0.0024922293755444973
81,Zink Mini Splatling,0.002413323390871639
82,Jet Squelcher,0.002340877545294804
83,Carbon Roller,0.002086163489508734
84,.96 Gal,0.0018208363480649115
85,Slosher Deco,0.0017608493421732646
86,Big Swig Roller,0.0016238021056361946
87,Tenta Brella,0.0015305915272507125
88,H-3 Nozzlenose,0.0012140447115455606
89,L-3 Nozzlenose,0.0008970364573335499
90,Rapid Blaster Pro,0.0008292049968253031
